fetched_at,name,url,status,n_tools,error
2026-08-10T02:30:35+00:00,ai.com.mcp/hapi-mcp,https://{HAPI_FQDN}:{HAPI_PORT}/mcp,error,,InvalidURL: Failed to parse: https://{HAPI_FQDN}:{HAPI_PORT}/mcp
2026-08-10T02:30:36+00:00,ai.com.mcp/lenny-rachitsky-podcast,https://lenny-rachitsky.run.mcp.com.ai/mcp,error,,RuntimeError: initialize returned no result
2026-08-10T02:30:37+00:00,ai.com.mcp/linkedin,https://linkedin.run.mcp.com.ai/mcp,error,,RuntimeError: initialize returned no result
2026-08-10T02:30:37+00:00,ai.com.mcp/openai-tools,https://openai-tools.run.mcp.com.ai/mcp,error,,RuntimeError: initialize returned no result
2026-08-10T02:30:38+00:00,ai.com.mcp/petstore,https://petstore.run.mcp.com.ai/mcp,error,,RuntimeError: initialize returned no result
2026-08-10T02:30:38+00:00,ai.com.mcp/registry,https://registry.run.mcp.com.ai/mcp,error,,RuntimeError: initialize returned no result
2026-08-10T02:30:39+00:00,ai.com.mcp/skills-search,https://skills-sh.run.mcp.com.ai/mcp,error,,"ConnectionError: HTTPSConnectionPool(host='skills-sh.run.mcp.com.ai', port=443): Max retries exceeded with url: /mcp (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x10e2c54c0>: Failed to resolve 'skills-sh.run.mcp.com.ai' ([Errno 8] nodename nor servname provided, or "
2026-08-10T02:30:39+00:00,ai.com.mcp/strava,https://strava.run.mcp.com.ai/mcp,error,,RuntimeError: initialize returned no result
2026-08-10T02:30:40+00:00,ai.compeller/compel,https://compeller.ai/api/mcp,ok,30,
2026-08-10T02:30:40+00:00,ai.complyme.mcp/mcp,,skipped_no_remote,,
2026-08-10T02:30:41+00:00,ai.componecat/componecat,https://app.componecat.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://app.componecat.ai/api/mcp
2026-08-10T02:30:41+00:00,ai.connectmachine/connectmachine,https://mcp.connectmachine.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.connectmachine.ai/mcp
2026-08-10T02:30:42+00:00,ai.constellationfinance/constellation-finance-mcp,https://mcp.constellationfinance.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.constellationfinance.ai/mcp
2026-08-10T02:30:42+00:00,ai.contextstudios/mcp,,skipped_no_remote,,
2026-08-10T02:30:43+00:00,ai.contio/meetingos,https://mcp.contio.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.contio.ai/mcp
2026-08-10T02:30:43+00:00,ai.conveo/conveo,https://app.conveo.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://app.conveo.ai/api/mcp
2026-08-10T02:30:44+00:00,ai.cookiy/cookiy,https://s-api.cookiy.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://s-api.cookiy.ai/mcp
2026-08-10T02:30:45+00:00,ai.corduroy-labs/updates,https://corduroy-labs.ai/mcp,ok,2,
2026-08-10T02:30:46+00:00,ai.cosmonote/notes,https://nebula.cosmonote.ai/mcp,error,,HTTPError: 400 Client Error: Bad Request for url: https://nebula.cosmonote.ai/mcp
2026-08-10T02:30:46+00:00,ai.craneledger/crane-ledger,https://api.craneledger.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.craneledger.ai/mcp
2026-08-10T02:30:47+00:00,ai.creationloop/creationloop,https://creationloop.ai/api/mcp,ok,4,
2026-08-10T02:30:49+00:00,ai.creativescope/creative-intelligence,https://mcp.creativescope.ai/mcp,ok,12,
2026-08-10T02:30:49+00:00,ai.crestsystems/counterparty-intelligence,https://data.crestsystems.ai/mcp,error,,"ConnectionError: HTTPSConnectionPool(host='data.crestsystems.ai', port=443): Max retries exceeded with url: /mcp (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x104b623f0>: Failed to resolve 'data.crestsystems.ai' ([Errno 8] nodename nor servname provided, or not know"
2026-08-10T02:30:50+00:00,ai.cueapi/mcp,,skipped_no_remote,,
2026-08-10T02:30:51+00:00,ai.cueframe/cueframe,https://api.cueframe.ai/v1/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://api.cueframe.ai/v1/mcp
2026-08-10T02:30:51+00:00,ai.customdomain/mcp,https://mcp.customdomain.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.customdomain.ai/mcp
2026-08-10T02:30:52+00:00,ai.d50/d50-platform,https://app.d50.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://app.d50.ai/api/mcp
2026-08-10T02:30:53+00:00,ai.dablock/visibility-index,https://dablock.ai/mcp,ok,5,
2026-08-10T02:30:54+00:00,ai.dabyte/visibility-index,https://dabyte.ai/mcp,ok,5,
2026-08-10T02:30:55+00:00,ai.dataecho/mcp,https://dataecho.ai/mcp,ok,26,
2026-08-10T02:30:56+00:00,ai.dataforb2b/dataforb2b,https://mcp.dataforb2b.ai/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://mcp.dataforb2b.ai/mcp
2026-08-10T02:30:58+00:00,ai.datamerge/mcp,https://mcp.datamerge.ai,ok,23,
2026-08-10T02:30:59+00:00,ai.dealfilter/mcp,https://dealfilter.ai/api/mcp,error,,HTTPError: 401 Client Error: Unauthorized for url: https://dealfilter.ai/api/mcp
